Number of Cores,Geometry,GFlops,Communication Overhead (seconds),Communication Overhead (%),Running Time (seconds)
4,2x2,14.5297,.010787,3.41,0.304948
4,2x2,14.7798,.000245,.11,0.221333
4,2x2,14.4461,-.003377,-2.08,0.165259
4,2x2,13.2847,-.000963,-.76,0.126413
4,2x2,12.1821,.0020868,2.14,0.0953673
4,2x2,11.2501,-.0006325,-.84,0.0758958
4,2x2,9.9261,.0013812,2.26,0.059549
4,2x2,8.07609,.0044685,8.39,0.048785
4,2x2,7.11836,.0029920,6.99,0.0398044
4,2x2,6.30253,-.0024512,-7.18,0.0365708
4,2x2,5.2059,-.0005321,-1.81,0.0297912
4,2x2,3.66995,.0031602,10.78,0.0261372
4,2x2,3.47467,-.0003573,-1.63,0.0222759
4,2x2,2.86748,.0003110,1.65,0.0184371
4,2x2,2.1533,-.0002457,-1.47,0.0168899
4,2x2,1.66113,-.0011104,-8.23,0.0145952
4,2x2,1.0048,-.0002518,-1.88,0.0136276
4,2x2,0.82119,.0004443,4.07,0.0104667
8,2x4,27.8218,-.020965,-12.71,0.185854
8,2x4,21.7444,-.003244,-2.15,0.153852
8,2x4,24.4644,-.0748248,-78.27,0.170415
8,2x4,19.3999,.0081470,9.48,0.0777586
8,2x4,17.0843,.0083248,11.97,0.0611657
8,2x4,17.3538,-.0036012,-7.38,0.0523928
8,2x4,14.6766,-.0068791,-16.69,0.0480875
8,2x4,11.6858,.0004225,1.14,0.0363811
8,2x4,9.62692,-.0006231,-1.96,0.0322677
8,2x4,6.98075,.0004884,1.58,0.0303163
8,2x4,7.07928,-.0000150,-.06,0.0215313
8,2x4,5.83062,-.0005547,-3.00,0.0189953
8,2x4,4.41792,-.0039447,-22.88,0.0211836
8,2x4,3.65105,-.0058180,-39.51,0.0205425
8,2x4,2.54429,-.0024828,-17.62,0.0165692
8,2x4,1.92701,.0004992,4.29,0.011125
8,2x4,1.24338,-.0005483,-5.07,0.0113576
8,2x4,0.73428,.0008772,7.18,0.0113252
16,2x8,27.0807,-.008996,-5.31,0.178398
16,2x8,26.0214,-.003617,-2.87,0.12947
16,2x8,24.2618,.0271151,28.13,0.0692735
